number,name,type1,type2,total,hp,attack,defense,sp_atk,sp_def,speed,legendary,generation,image_url
154,Meganium,Grass,NA,525,80,82,100,83,100,80,FALSE,2,https://img.pokemondb.net/sprites/home/normal/meganium.png
155,Cyndaquil,Fire,NA,309,39,52,43,60,50,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/cyndaquil.png
156,Quilava,Fire,NA,405,58,64,58,80,65,80,FALSE,2,https://img.pokemondb.net/sprites/home/normal/quilava.png
157,Typhlosion,Fire,NA,534,78,84,78,109,85,100,FALSE,2,https://img.pokemondb.net/sprites/home/normal/typhlosion.png
157,Typhlosion Hisuian Typhlosion,Fire,Ghost,534,73,84,78,119,85,95,FALSE,2,https://img.pokemondb.net/sprites/home/normal/typhlosion-hisuian-typhlosion.png
158,Totodile,Water,NA,314,50,65,64,44,48,43,FALSE,2,https://img.pokemondb.net/sprites/home/normal/totodile.png
159,Croconaw,Water,NA,405,65,80,80,59,63,58,FALSE,2,https://img.pokemondb.net/sprites/home/normal/croconaw.png
160,Feraligatr,Water,NA,530,85,105,100,79,83,78,FALSE,2,https://img.pokemondb.net/sprites/home/normal/feraligatr.png
161,Sentret,Normal,NA,215,35,46,34,35,45,20,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sentret.png
162,Furret,Normal,NA,415,85,76,64,45,55,90,FALSE,2,https://img.pokemondb.net/sprites/home/normal/furret.png
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/hoothoot.png
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/noctowl.png
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ledyba.png
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ledian.png
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/spinarak.png
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ariados.png
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,FALSE,2,https://img.pokemondb.net/sprites/home/normal/crobat.png
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,FALSE,2,https://img.pokemondb.net/sprites/home/normal/chinchou.png
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,FALSE,2,https://img.pokemondb.net/sprites/home/normal/lanturn.png
172,Pichu,Electric,NA,205,20,40,15,35,35,60,FALSE,2,https://img.pokemondb.net/sprites/home/normal/pichu.png
173,Cleffa,Fairy,NA,218,50,25,28,45,55,15,FALSE,2,https://img.pokemondb.net/sprites/home/normal/cleffa.png
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,FALSE,2,https://img.pokemondb.net/sprites/home/normal/igglybuff.png
175,Togepi,Fairy,NA,245,35,20,65,40,65,20,FALSE,2,https://img.pokemondb.net/sprites/home/normal/togepi.png
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/togetic.png
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/natu.png
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,FALSE,2,https://img.pokemondb.net/sprites/home/normal/xatu.png
179,Mareep,Electric,NA,280,55,40,40,65,45,35,FALSE,2,https://img.pokemondb.net/sprites/home/normal/mareep.png
180,Flaaffy,Electric,NA,365,70,55,55,80,60,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/flaaffy.png
181,Ampharos,Electric,NA,510,90,75,85,115,90,55,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ampharos.png
181,Ampharos Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ampharos-mega-ampharos.png
182,Bellossom,Grass,NA,490,75,80,95,90,100,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/bellossom.png
183,Marill,Water,Fairy,250,70,20,50,20,50,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/marill.png
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/azumarill.png
185,Sudowoodo,Rock,NA,410,70,100,115,30,65,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sudowoodo.png
186,Politoed,Water,NA,500,90,75,75,90,100,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/politoed.png
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/hoppip.png
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,FALSE,2,https://img.pokemondb.net/sprites/home/normal/skiploom.png
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,FALSE,2,https://img.pokemondb.net/sprites/home/normal/jumpluff.png
190,Aipom,Normal,NA,360,55,70,55,40,55,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/aipom.png
191,Sunkern,Grass,NA,180,30,30,30,30,30,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sunkern.png
192,Sunflora,Grass,NA,425,75,75,55,105,85,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sunflora.png
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,FALSE,2,https://img.pokemondb.net/sprites/home/normal/yanma.png
194,Wooper,Water,Ground,210,55,45,45,25,25,15,FALSE,2,https://img.pokemondb.net/sprites/home/normal/wooper.png
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,FALSE,2,https://img.pokemondb.net/sprites/home/normal/quagsire.png
196,Espeon,Psychic,NA,525,65,65,60,130,95,110,FALSE,2,https://img.pokemondb.net/sprites/home/normal/espeon.png
197,Umbreon,Dark,NA,525,95,65,110,60,130,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/umbreon.png
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,FALSE,2,https://img.pokemondb.net/sprites/home/normal/murkrow.png
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/slowking.png
199,Slowking Galarian Slowking,Poison,Psychic,490,95,65,80,110,110,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/slowking-galarian-slowking.png
200,Misdreavus,Ghost,NA,435,60,60,60,85,85,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/misdreavus.png
201,Unown,Psychic,NA,336,48,72,48,72,48,48,FALSE,2,https://img.pokemondb.net/sprites/home/normal/unown.png
202,Wobbuffet,Psychic,NA,405,190,33,58,33,58,33,FALSE,2,https://img.pokemondb.net/sprites/home/normal/wobbuffet.png
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/girafarig.png
204,Pineco,Bug,NA,290,50,65,90,35,35,15,FALSE,2,https://img.pokemondb.net/sprites/home/normal/pineco.png
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/forretress.png
206,Dunsparce,Normal,NA,415,100,70,70,65,65,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/dunsparce.png
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/gligar.png
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/steelix.png
208,Steelix Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/steelix-mega-steelix.png
209,Snubbull,Fairy,NA,300,60,80,50,40,40,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/snubbull.png
210,Granbull,Fairy,NA,450,90,120,75,60,60,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/granbull.png
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/qwilfish.png
211,Qwilfish Hisuian Qwilfish,Dark,Poison,440,65,95,85,55,55,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/qwilfish-hisuian-qwilfish.png
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/scizor.png
212,Scizor Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,FALSE,2,https://img.pokemondb.net/sprites/home/normal/scizor-mega-scizor.png
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,FALSE,2,https://img.pokemondb.net/sprites/home/normal/shuckle.png
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/heracross.png
214,Heracross Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,FALSE,2,https://img.pokemondb.net/sprites/home/normal/heracross-mega-heracross.png
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sneasel.png
215,Sneasel Hisuian Sneasel,Poison,Fighting,430,55,95,55,35,75,115,FALSE,2,https://img.pokemondb.net/sprites/home/normal/sneasel-hisuian-sneasel.png
216,Teddiursa,Normal,NA,330,60,80,50,50,50,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/teddiursa.png
217,Ursaring,Normal,NA,500,90,130,75,75,75,55,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ursaring.png
218,Slugma,Fire,NA,250,40,40,40,70,40,20,FALSE,2,https://img.pokemondb.net/sprites/home/normal/slugma.png
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/magcargo.png
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/swinub.png
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/piloswine.png
222,Corsola,Water,Rock,410,65,55,95,65,95,35,FALSE,2,https://img.pokemondb.net/sprites/home/normal/corsola.png
222,Corsola Galarian Corsola,Ghost,NA,410,60,55,100,65,100,30,FALSE,2,https://img.pokemondb.net/sprites/home/normal/corsola-galarian-corsola.png
223,Remoraid,Water,NA,300,35,65,35,65,35,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/remoraid.png
224,Octillery,Water,NA,480,75,105,75,105,75,45,FALSE,2,https://img.pokemondb.net/sprites/home/normal/octillery.png
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,FALSE,2,https://img.pokemondb.net/sprites/home/normal/delibird.png
226,Mantine,Water,Flying,485,85,40,70,80,140,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/mantine.png
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/skarmory.png
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/houndour.png
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,FALSE,2,https://img.pokemondb.net/sprites/home/normal/houndoom.png
229,Houndoom Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,FALSE,2,https://img.pokemondb.net/sprites/home/normal/houndoom-mega-houndoom.png
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/kingdra.png
231,Phanpy,Ground,NA,330,90,60,60,40,40,40,FALSE,2,https://img.pokemondb.net/sprites/home/normal/phanpy.png
232,Donphan,Ground,NA,500,90,120,120,60,60,50,FALSE,2,https://img.pokemondb.net/sprites/home/normal/donphan.png
233,Porygon2,Normal,NA,515,85,80,90,105,95,60,FALSE,2,https://img.pokemondb.net/sprites/home/normal/porygon2.png
234,Stantler,Normal,NA,465,73,95,62,85,65,85,FALSE,2,https://img.pokemondb.net/sprites/home/normal/stantler.png
235,Smeargle,Normal,NA,250,55,20,35,20,45,75,FALSE,2,https://img.pokemondb.net/sprites/home/normal/smeargle.png
236,Tyrogue,Fighting,NA,210,35,35,35,35,35,35,FALSE,2,https://img.pokemondb.net/sprites/home/normal/tyrogue.png
237,Hitmontop,Fighting,NA,455,50,95,95,35,110,70,FALSE,2,https://img.pokemondb.net/sprites/home/normal/hitmontop.png
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,FALSE,2,https://img.pokemondb.net/sprites/home/normal/smoochum.png
239,Elekid,Electric,NA,360,45,63,37,65,55,95,FALSE,2,https://img.pokemondb.net/sprites/home/normal/elekid.png
240,Magby,Fire,NA,365,45,75,37,70,55,83,FALSE,2,https://img.pokemondb.net/sprites/home/normal/magby.png
241,Miltank,Normal,NA,490,95,80,105,40,70,100,FALSE,2,https://img.pokemondb.net/sprites/home/normal/miltank.png
242,Blissey,Normal,NA,540,255,10,10,75,135,55,FALSE,2,https://img.pokemondb.net/sprites/home/normal/blissey.png
243,Raikou,Electric,NA,580,90,85,75,115,100,115,TRUE,2,https://img.pokemondb.net/sprites/home/normal/raikou.png
244,Entei,Fire,NA,580,115,115,85,90,75,100,TRUE,2,https://img.pokemondb.net/sprites/home/normal/entei.png
245,Suicune,Water,NA,580,100,75,115,90,115,85,TRUE,2,https://img.pokemondb.net/sprites/home/normal/suicune.png
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,FALSE,2,https://img.pokemondb.net/sprites/home/normal/larvitar.png
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,FALSE,2,https://img.pokemondb.net/sprites/home/normal/pupitar.png
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,FALSE,2,https://img.pokemondb.net/sprites/home/normal/tyranitar.png
248,Tyranitar Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,FALSE,2,https://img.pokemondb.net/sprites/home/normal/tyranitar-mega-tyranitar.png
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,TRUE,2,https://img.pokemondb.net/sprites/home/normal/lugia.png
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,FALSE,2,https://img.pokemondb.net/sprites/home/normal/ho-oh.png
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,TRUE,2,https://img.pokemondb.net/sprites/home/normal/celebi.png
252,Treecko,Grass,NA,310,40,45,35,65,55,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/treecko.png
253,Grovyle,Grass,NA,405,50,65,45,85,65,95,FALSE,3,https://img.pokemondb.net/sprites/home/normal/grovyle.png
254,Sceptile,Grass,NA,530,70,85,65,105,85,120,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sceptile.png
254,Sceptile Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sceptile-mega-sceptile.png
255,Torchic,Fire,NA,310,45,60,40,70,50,45,FALSE,3,https://img.pokemondb.net/sprites/home/normal/torchic.png
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/combusken.png
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/blaziken.png
257,Blaziken Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/blaziken-mega-blaziken.png
258,Mudkip,Water,NA,310,50,70,50,50,50,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/mudkip.png
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/marshtomp.png
260,Swampert,Water,Ground,535,100,110,90,85,90,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/swampert.png
260,Swampert Mega Swampert,Water,Ground,635,100,150,110,95,110,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/swampert-mega-swampert.png
261,Poochyena,Dark,NA,220,35,55,35,30,30,35,FALSE,3,https://img.pokemondb.net/sprites/home/normal/poochyena.png
262,Mightyena,Dark,NA,420,70,90,70,60,60,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/mightyena.png
263,Zigzagoon,Normal,NA,240,38,30,41,30,41,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/zigzagoon.png
263,Zigzagoon Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/zigzagoon-galarian-zigzagoon.png
264,Linoone,Normal,NA,420,78,70,61,50,61,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/linoone.png
264,Linoone Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/linoone-galarian-linoone.png
265,Wurmple,Bug,NA,195,45,45,35,20,30,20,FALSE,3,https://img.pokemondb.net/sprites/home/normal/wurmple.png
266,Silcoon,Bug,NA,205,50,35,55,25,25,15,FALSE,3,https://img.pokemondb.net/sprites/home/normal/silcoon.png
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/beautifly.png
268,Cascoon,Bug,NA,205,50,35,55,25,25,15,FALSE,3,https://img.pokemondb.net/sprites/home/normal/cascoon.png
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/dustox.png
270,Lotad,Water,Grass,220,40,30,30,40,50,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/lotad.png
271,Lombre,Water,Grass,340,60,50,50,60,70,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/lombre.png
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/ludicolo.png
273,Seedot,Grass,NA,220,40,40,50,30,30,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/seedot.png
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/nuzleaf.png
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/shiftry.png
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,FALSE,3,https://img.pokemondb.net/sprites/home/normal/taillow.png
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,FALSE,3,https://img.pokemondb.net/sprites/home/normal/swellow.png
278,Wingull,Water,Flying,270,40,30,30,55,30,85,FALSE,3,https://img.pokemondb.net/sprites/home/normal/wingull.png
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/pelipper.png
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/ralts.png
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/kirlia.png
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/gardevoir.png
282,Gardevoir Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/gardevoir-mega-gardevoir.png
283,Surskit,Bug,Water,269,40,30,32,50,52,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/surskit.png
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/masquerain.png
285,Shroomish,Grass,NA,295,60,40,60,40,60,35,FALSE,3,https://img.pokemondb.net/sprites/home/normal/shroomish.png
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/breloom.png
287,Slakoth,Normal,NA,280,60,60,60,35,35,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/slakoth.png
288,Vigoroth,Normal,NA,440,80,80,80,55,55,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/vigoroth.png
289,Slaking,Normal,NA,670,150,160,100,95,65,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/slaking.png
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/nincada.png
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,FALSE,3,https://img.pokemondb.net/sprites/home/normal/ninjask.png
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/shedinja.png
293,Whismur,Normal,NA,240,64,51,23,51,23,28,FALSE,3,https://img.pokemondb.net/sprites/home/normal/whismur.png
294,Loudred,Normal,NA,360,84,71,43,71,43,48,FALSE,3,https://img.pokemondb.net/sprites/home/normal/loudred.png
295,Exploud,Normal,NA,490,104,91,63,91,73,68,FALSE,3,https://img.pokemondb.net/sprites/home/normal/exploud.png
296,Makuhita,Fighting,NA,237,72,60,30,20,30,25,FALSE,3,https://img.pokemondb.net/sprites/home/normal/makuhita.png
297,Hariyama,Fighting,NA,474,144,120,60,40,60,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/hariyama.png
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,FALSE,3,https://img.pokemondb.net/sprites/home/normal/azurill.png
299,Nosepass,Rock,NA,375,30,45,135,45,90,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/nosepass.png
300,Skitty,Normal,NA,260,50,45,45,35,35,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/skitty.png
301,Delcatty,Normal,NA,400,70,65,65,55,55,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/delcatty.png
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sableye.png
302,Sableye Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sableye-mega-sableye.png
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/mawile.png
303,Mawile Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/mawile-mega-mawile.png
304,Aron,Steel,Rock,330,50,70,100,40,40,30,FALSE,3,https://img.pokemondb.net/sprites/home/normal/aron.png
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/lairon.png
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/aggron.png
306,Aggron Mega Aggron,Steel,NA,630,70,140,230,60,80,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/aggron-mega-aggron.png
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/meditite.png
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/medicham.png
308,Medicham Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/medicham-mega-medicham.png
309,Electrike,Electric,NA,295,40,45,40,65,40,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/electrike.png
310,Manectric,Electric,NA,475,70,75,60,105,60,105,FALSE,3,https://img.pokemondb.net/sprites/home/normal/manectric.png
310,Manectric Mega Manectric,Electric,NA,575,70,75,80,135,80,135,FALSE,3,https://img.pokemondb.net/sprites/home/normal/manectric-mega-manectric.png
311,Plusle,Electric,NA,405,60,50,40,85,75,95,FALSE,3,https://img.pokemondb.net/sprites/home/normal/plusle.png
312,Minun,Electric,NA,405,60,40,50,75,85,95,FALSE,3,https://img.pokemondb.net/sprites/home/normal/minun.png
313,Volbeat,Bug,NA,430,65,73,75,47,85,85,FALSE,3,https://img.pokemondb.net/sprites/home/normal/volbeat.png
314,Illumise,Bug,NA,430,65,47,75,73,85,85,FALSE,3,https://img.pokemondb.net/sprites/home/normal/illumise.png
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/roselia.png
316,Gulpin,Poison,NA,302,70,43,53,43,53,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/gulpin.png
317,Swalot,Poison,NA,467,100,73,83,73,83,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/swalot.png
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/carvanha.png
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sharpedo.png
319,Sharpedo Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,FALSE,3,https://img.pokemondb.net/sprites/home/normal/sharpedo-mega-sharpedo.png
320,Wailmer,Water,NA,400,130,70,35,70,35,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/wailmer.png
321,Wailord,Water,NA,500,170,90,45,90,45,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/wailord.png
322,Numel,Fire,Ground,305,60,60,40,65,45,35,FALSE,3,https://img.pokemondb.net/sprites/home/normal/numel.png
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,FALSE,3,https://img.pokemondb.net/sprites/home/normal/camerupt.png
323,Camerupt Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,FALSE,3,https://img.pokemondb.net/sprites/home/normal/camerupt-mega-camerupt.png
324,Torkoal,Fire,NA,470,70,85,140,85,70,20,FALSE,3,https://img.pokemondb.net/sprites/home/normal/torkoal.png
325,Spoink,Psychic,NA,330,60,25,35,70,80,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/spoink.png
326,Grumpig,Psychic,NA,470,80,45,65,90,110,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/grumpig.png
327,Spinda,Normal,NA,360,60,60,60,60,60,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/spinda.png
328,Trapinch,Ground,NA,290,45,100,45,45,45,10,FALSE,3,https://img.pokemondb.net/sprites/home/normal/trapinch.png
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/vibrava.png
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,FALSE,3,https://img.pokemondb.net/sprites/home/normal/flygon.png
331,Cacnea,Grass,NA,335,50,85,40,85,40,35,FALSE,3,https://img.pokemondb.net/sprites/home/normal/cacnea.png
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,FALSE,3,https://img.pokemondb.net/sprites/home/normal/cacturne.png
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,FALSE,3,https://img.pokemondb.net/sprites/home/normal/swablu.png
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/altaria.png
334,Altaria Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,FALSE,3,https://img.pokemondb.net/sprites/home/normal/altaria-mega-altaria.png
335,Zangoose,Normal,NA,458,73,115,60,60,60,90,FALSE,3,https://img.pokemondb.net/sprites/home/normal/zangoose.png
336,Seviper,Poison,NA,458,73,100,60,100,60,65,FALSE,3,https://img.pokemondb.net/sprites/home/normal/seviper.png
337,Lunatone,Rock,Psychic,460,90,55,65,95,85,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/lunatone.png
338,Solrock,Rock,Psychic,460,90,95,85,55,65,70,FALSE,3,https://img.pokemondb.net/sprites/home/normal/solrock.png
339,Barboach,Water,Ground,288,50,48,43,46,41,60,FALSE,3,https://img.pokemondb.net/sprites/home/normal/barboach.png
